ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
149	Cologne	Schmerz	white1.bmp	Bob	war Zeuge eines Autounfalls, aber meldete diesen nicht	neg	c	False	5.166192	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	drehte die Musik mitten in der Nacht laut auf	neg	u	Correct	3.919421	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	trickste eine Hausfrau aus, indem sie Geld für eine Magazinbestellung bezahlte, welche es gar nicht gab	neg	u	Correct	9.946394	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	gab 20 € an eine Hilfsorganisation	pos	c	Correct	1.874822	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	sagt denen, die ihm nahe stehen, dass er sie liebt	pos	c	Correct	4.292839	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	hob kleine Küken auf, die aus einem Nest gefallen waren und ernährte sie, bis sie erwachsen waren	pos	c	Correct	4.477135	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	verunstaltete einen großen Felsen in einem öffentlichen Park mit Sprühfarbe	neg	u	Correct	4.205143	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	überfuhr einen Hund, als er zu schnell durch ein Wohngebiet fuhr	neg	u	Correct	4.029843	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	sagt der Eigentümerin eines kleines Ladens, dass sie ihm zu viel Wechselgeld gegeben hat	pos	c	Correct	3.530152	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	meldete einer Ski-Patrouille, dass sein Freund nicht rechtzeitig von einer Skitour im Gelände zurückgekehrt war	pos	c	Correct	3.639943	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	machte lautstark rassistische Äußerungen gegenüber seinen Freunden in einer Bar	neg	u	Correct	2.810595	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	schenkt seiner Mutter Blumen	pos	c	Correct	2.286719	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	beleidigte einen Mann, der nach der Richtung zur nächsten Post fragte	neg	u	Correct	2.640699	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	wurde verhaftet weil er mit 500 € gefälschtem Geld bezahlte	neg	u	Correct	4.017306	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	wurde ehrenamtlich Basketballtrainer in einem Kinderheim	pos	c	Correct	2.499648	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	verspottete einen liegengebliebenen Autofahrer während eines Regensturms	neg	u	Correct	5.286832	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Krieg	white1.bmp	Bob	drängelte sich an einer Tankstelle vor	neg	u	Correct	2.036227	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hölle	white1.bmp	Bob	rauchte absichtlich, obwohl er im Nichtraucherbereich des Theaters war	neg	u	Correct	2.789828	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Gestank	white1.bmp	Bob	wurde sehr wütend und bedrohte zwei Kinder, die nahe seines Hauses Insekten sammelten	neg	u	Correct	3.529288	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	﻿Leiche	white1.bmp	Bob	stahl Geld und Schmuck von Verwandten, bei denen er wohnte	neg	u	Correct	2.958161	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	raubte einen Supermarkt aus	neg	u	Correct	1.134521	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	parkte sein Auto auf einem Behindertenparkplatz	neg	u	Correct	2.597450	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	zapfte Benzin von einem parkenden Auto ab	neg	u	Correct	1.749293	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Schmerz	white1.bmp	Bob	ließ ein älteres Paar umsonst in den Bus, den er fuhr, weil sie nicht genug Geld hatten für zwei Tickets	pos	c	Correct	5.780841	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Verletzung	white1.bmp	Bob	macht alle schlecht, die in einer Unterhaltung nicht seiner Meinung sind	neg	u	Correct	3.574057	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Abfall	white1.bmp	Bob	erschien nicht als wichtiger Zeuge in einem Drogenfall, in dem ein Freund involviert war	neg	u	Correct	5.101538	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Tod	white1.bmp	Bob	weigerte sich seinem Kind zu helfen, dessen Fahrrad zu reparieren	neg	u	Correct	2.878336	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	half seiner Frau nach einem Abendessen mit Freunden das Geschirr zu spülen	pos	c	Correct	3.801412	1	1	pos	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Spinne	white1.bmp	Bob	beharrte, dass er ein Ticket für einen Sitzplatz bei einem Basketballspiel habe, obwohl er wusste, dass der Sitz nicht wirklich seiner war 	neg	u	Correct	5.982256	1	1	neg	methexp32	2018-02-13_09.50.54.404000
149	Cologne	Hässlich	white1.bmp	Bob	half einem jungen Kind das Alphabet zu lernen	pos	c	Correct	2.808648	1	1	pos	methexp32	2018-02-13_09.50.54.404000
