ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
35	hässlich	white4.bmp	Jan	meldete der Polizei nicht, dass ein Nachbar seine Frau schlug.	neg	u	Correct	7.402340	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	macht sich über Lesben auf der Straße lustig.	neg	u	Correct	5.027498	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	gibt einem verirrten Autofahrer Richtungshinweise.	pos	c	Correct	3.551853	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	rettete ein Kind vor einem nahenden Auto.	pos	c	Correct	4.422496	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	weigerte sich einem Freund ein Buch zu leihen, dass dieser für eine Hausarbeit brauchte.	neg	u	Correct	3.795210	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	gab eine Arbeitsaufgabe rechtzeitig ab.	pos	c	Correct	3.327925	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	brüllte einen acht-jahre-alten Jungen an, der mit seinem Fahrrad auf dem Bürgersteig fuhr.	neg	u	Correct	4.176593	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	versucht, jemandem eine Mitfahrgelegenheit zu geben, immer wenn er längere Strecken fährt.	pos	c	Correct	3.958600	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	erzählte eine Lüge über seinen Freund.	neg	u	Correct	3.927954	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	beleidigte einen Mann, der nach der Richtung zur nächsten Post fragte.	neg	u	Correct	4.712217	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	fuhr eine weite Strecke, um seine Eltern zu besuchen.	pos	c	Correct	2.428609	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	gab 20€ an eine Hilfsorganisation.	pos	c	Correct	2.390455	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	arbeitet ehrenamtlich in der Suppenküche.	pos	c	Correct	2.270802	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	klaute einen Parkplatz, indem er von hinten hinein fuhr, während jemand anderes gerade versuchte rückwärts einzuparken.	neg	u	Correct	3.859926	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	half einem Freund für einen Test zu lernen.	pos	c	Correct	2.386597	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	half einem Freund bei dessen Umzug in ein Apartment.	pos	u	False	3.803273	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	reparierte einen quietschenden Schaukelstuhl für einen Freund auf dem Land.	pos	c	Correct	2.696113	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	drängelt sich im Kino an den Anfang der Schlange.	neg	u	Correct	2.152988	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	fuhr unter Alkoholeinfluss in ein geparktes Auto.	neg	u	Correct	1.883835	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	ließ sein Lagerfeuer in der Nacht brennen, wodurch ein kleiner Waldbrand entfacht wurde.	neg	u	Correct	3.415622	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	hielt an, um einem Fahrer zu helfen, dessen Auto während eines Schneesturms liegen geblieben war.	pos	c	Correct	4.571055	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	trat seinen Hund, weil dieser Käse von der Ecke des Tisches gegessen hatte.	neg	u	Correct	4.443164	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	gibt allen seinen Freunden an der Bar ein Getränk aus.	pos	c	Correct	2.744946	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	arbeitete unter falschem Firmennamen und ließ Leute im Voraus für eine Arbeit bezahlen, die er nie zu machen plante.	neg	u	Correct	3.994442	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	lachte, als ein Kind von einem Baum fiel.	neg	u	Correct	2.539945	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	spielte spät nachts auf einem Campingplatz sein Transistorradio auf voller Lautstärke.	neg	u	Correct	4.248627	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	arbeitet 40 Stunden in der Woche, um sich sein Studium selbst zu finanzieren.	pos	c	Correct	3.504559	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	weigerte sich eine Petition zu unterschreiben, die die Spielplätze für Schulkinder verbessern will.	neg	u	Correct	4.566126	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	brüllt seine Frau ständig in der Öffentlichkeit an.	neg	u	Correct	1.783140	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	half seinem Vater dabei, auf seine jüngeren Geschwister aufzupassen, während seine Mutter im Krankenhaus war.	pos	u	False	4.016224	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	verschenkt zu Weihnachten die besten Geschenke.	pos	c	Correct	2.210532	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	half seiner Frau dabei einen großen Gemüsegarten im Hinterhof anzulegen.	pos	c	Correct	2.678589	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	brach einen Spind auf und stahl Ski-Equipment im Wert von 400€.	neg	u	Correct	2.231129	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	schnitt in die Vorderseite einer Gasleitung.	neg	u	Correct	4.027692	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	arbeitet einen Tag in der Woche ehrenamtlich in einer Kindertagesstätte.	pos	c	Correct	3.710400	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	borgte sich einige Unterlagen von einem Bekannten und gab sie nie zurück.	neg	u	Correct	3.273125	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	fuhr einen Hund auf der Straße an und fuhr weiter, ohne dem Halter Bescheid zu sagen.	neg	u	Correct	4.905060	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	ließ jemand anderen seine Hausarbeit für ihn schreiben.	neg	u	Correct	2.610085	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	gab einer Familie Unterkunft, die ihr Zuhause in einem Feuer verloren hatten.	pos	c	Correct	3.039758	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	erledigte die Einkäufe für eine ältere Dame von nebenan, die krank war.	pos	c	Correct	2.905994	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	half einem ausländischen Studenten eine Wohnung zu finden.	pos	c	Correct	2.431523	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	verlangte zu viel Geld von Kunden, die Benzin an einer Tankstelle kauften.	neg	u	Correct	1.801413	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	fand einen teuren Aktenkoffer auf der Straße und schaltete eine Anzeige in die Zeitung, um den Besitzer ausfindig zu machen.	pos	c	Correct	4.834837	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	verunstaltete einen großen Felsen in einem öffentlichen Park mit Sprüh-Farbe.	neg	u	Correct	3.466378	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	veranstaltete eine Überraschungsparty zum Geburtstag seinen Vaters.	pos	c	Correct	2.478434	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	stahl Anziehsachen aus Waschmaschinen im Waschsalon.	neg	u	Correct	4.153373	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	verspottete einen liegengebliebenen Autofahrer in einem Regensturm.	neg	u	Correct	4.063265	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	half einem Freund dabei, sein Apartment zu streichen.	pos	c	Correct	2.882722	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	machte eine wenig-Fett Diät und verlor 20 Kilogramm.	pos	c	Correct	4.184222	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	verbrachte seinen freien Tag damit, seiner Mutter im Haushalt zu helfen.	pos	c	Correct	2.846941	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	half einem Kind den Weg nach Hause zu finden, nachdem sich dieses verlaufen hatte.	pos	c	Correct	1.939319	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	überfuhr geistesabwesend eine rote Ampel an einer Kreuzung und krachte in die Seite eines anderen Autos.	neg	u	Correct	3.664289	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	brachte einem Nachbarskind bei Fahrrad zu fahren.	pos	c	Correct	5.161766	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	schoss ein Reh außerhalb der Jagdsaison.	neg	u	Correct	2.857728	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	kaufte eine alte Gitarre und restaurierte sie für seinen Cousin.	pos	c	Correct	5.966291	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	tippte ein Manuskript für einen Freund ab.	pos	c	Correct	1.714610	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Müll	white4.bmp	Jan	spielte laut Musik bis spät in der Nacht.	neg	u	Correct	2.200962	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Schmerz	white4.bmp	Jan	machte lautstark rassistische Kommentare zu seinen Freunden in einer Bar.	neg	u	Correct	2.254071	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	hob kleine Babyvögel auf, die aus einem Nest gefallen waren und ernährte sie, bis sie erwachsen waren.	pos	c	Correct	4.339210	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	gab das Klassenprojekt eines anderen unter seinem eigenen Namen ab.	neg	u	Correct	2.205937	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Gestank	white4.bmp	Jan	sagte einer Frau, dass sie ihre Brieftasche fallen gelassen hatte.	pos	c	Correct	2.561178	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	half beim Errichten eines neuen Daches für das Haus seines Nachbarn.	pos	c	Correct	4.814454	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	verletzt	white4.bmp	Jan	zerschlug Fenster in einem öffentlichen Gebäude, während für das Errichten eines Altersheims demonstriert wurde.	neg	u	Correct	1.957670	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Spinne	white4.bmp	Jan	betrank sich und schubste ein siebenjähriges Mädchen.	neg	u	Correct	1.986738	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	bezahlte einen Mann dafür seiner Frau nachzuspionieren.	neg	u	Correct	2.209044	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	verbringt oft Zeit in einem Altersheim und hilft dort aus.	pos	c	Correct	2.244948	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	kocht ein leckeres Abendessen für seine Freunde.	pos	c	Correct	2.186819	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	warf auf einer Party einen Stuhl durchs Fenster.	neg	u	Correct	3.710322	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	ignorierte einen Hilfeschrei auf der Ski-Piste, indem er zu schnell vorbeifuhr, um anzuhalten.	neg	u	Correct	3.961422	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	beharrte auf seinem Sitz bei einem Basketballspiel, obwohl er wusste, dass der Sitz nicht wirklich seiner war.	neg	u	Correct	5.418858	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Hölle	white4.bmp	Jan	half einer Tafel an Weihnachten, Weihnachtsgänse an bedürftige Familien zu verteilen.	pos	c	Correct	5.745127	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	hässlich	white4.bmp	Jan	adoptierte kleine Kinder und erzog sie wie seine eigenen.	pos	c	Correct	3.583624	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	arbeitete zwei Jahre in einem Strip Club, im Armenviertel von Chicago.	neg	u	Correct	6.055248	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	sendete am Muttertag Blumen zu seiner Mutter.	pos	c	Correct	3.773827	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Krieg	white4.bmp	Jan	zapfte Benzin von einem an der Straße geparkten Auto ab.	neg	u	Correct	5.801838	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Tod	white4.bmp	Jan	schlief am Steuer ein und krachte in ein entgegenkommendes Auto.	neg	u	Correct	2.746138	1	1	neg	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	schloss die Haustür eines Nachbarn, als dieser sie aus Versehen offen gelassen hatte.	pos	c	Correct	5.403736	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
35	Leiche	white4.bmp	Jan	machte die Eigentümerin eines kleinen Ladens darauf aufmerksam, dass sie ihm zu viel Wechselgeld gegeben hatte.	pos	c	Correct	3.393975	1	1	pos	versuchneu7	2016-07-20_12.00.45.570000
